skill,var
0,0.135852945724327
1,0.13155764530638753
2,0.20846570607973244
3,0.18705784707665704
4,0.29328691971596704
5,0.4212835247288141
6,0.45283438875043924
7,0.06845124488123892
8,0.3803598029629161
9,0.3803598029629161
10,0.0
11,0.28203716258269174
12,0.0
13,0.3564400378791049
14,0.0
15,0.26895140541054813
16,0.5791224913949905
17,0.4169270010727553
18,0.37247518162393506
19,0.3790242606756815
20,0.21044489625377752
21,0.5222288381875488
22,0.22957698668045617
23,0.54256801141642
24,0.22694103821460598
25,0.3803598029629161
26,0.12293289072267848
27,0.3570607320722265
28,0.2894610611187051
29,0.4336336238504889
30,0.5193046291748376
31,0.07144703147437671
32,0.5235304864999064
33,0.23739875359898552
34,0.10956983764658174
35,0.3147200513817284
36,0.2988420907172579
37,0.4068492772509605
38,0.4278719708613312
39,0.10956983764658174
40,0.28117701064050804
41,0.3162708526046046
42,0.041403506487901864
43,0.0
44,0.19580055130243734
45,0.3349418267871416
46,0.42791799683468357
47,0.09900963076298731
48,0.47541490124294705
49,0.5063494863854721
50,0.12248889540715038
51,0.3317882312327786
52,0.3917351084415407
53,0.3253605075966251
54,0.19011307212489595
55,0.2237021330370353
56,0.6964712512884035
57,0.0
58,0.22588200067986144
59,0.3552003453531127
60,0.25983425927189535
61,0.4255040270636543
62,0.1498043222737662
63,0.10100958852668375
64,0.38497432829887646
65,0.22777389299418258
66,0.17746699197245241
67,0.47577710705772563
68,0.5141956190288473
69,0.11274837972206475
70,1.0
71,0.5098037449608147
72,0.36318553291579825
73,0.28644448597207817
74,0.362749530337025
75,0.4290509032577231
76,0.4401335444726602
77,0.2912137808747736
78,0.0
79,0.31771460358852366
80,0.3498094508078344
81,0.28281668394123916
82,0.03446542139933652
83,0.17795752288305147
84,0.2752382653340164
85,0.27938361309009085
86,0.4494282683645744
87,0.341561719887014
88,0.1216850910278802
89,0.4333147641740522
90,0.5355159710821112
91,0.23384898874674567
92,0.4846839182531368
93,0.27583990097594396
94,0.23899697311370846
95,0.30565692753473284
96,0.16772177495550197
97,0.33654067233564466
98,0.0
99,0.29732220831130485
100,0.2877990975109146
101,0.0
102,0.29802061343912806
103,0.5005992176970069
104,0.0
105,0.5073212611811234
106,0.3803598029629161
107,0.08642949576390496
108,0.37135385254133335
109,0.06491111552553243
110,0.341603203115658
111,0.38393525926771094
112,0.3333344873375575
113,0.5231582553477896
114,0.10975296922027994
115,0.5929591640734064
116,0.6269140406819397
117,0.0954243024602081
118,0.3823246990862505
119,0.17950247197524094
120,0.289045415079889
121,0.23978611399104624
122,0.0
